Greene Avenue United Neighbors Association;490 Greene Avenue;40,688329;-73,951722;11216
Greene Garden;2 South Portland Avenue;40,689322;-73,975044;11217
Halsey Ralph and Howard Garden;774 Halsey St.;40,684918;-73,922702;11233
Hancock T & T Block Association;322-324 Hancock Street;40,683344;-73,942924;11216
Harding Park Beautification Project;155 Harding Park;40,807736;-73,857874;10473
Harlem Rose Garden;4-8 E 129th Street;40,808821;-73,9401;10035
Harlem Success Garden - P.S. 175/I.S. 275;116 - 122 West 134th Street;40,813777;-73,942176;10030
Harlem Village Green;52 W 129th Street;40,809753;-73,94231;10027
Hart Street Community Garden;169-171 Hart Street;40,693662;-73,94457;11206
Hart to Hart;104-108 Hart Street;40,693312;-73,947474;11206
Heckscher Foundation For Children's Garden;134-136 Scholes Street;40,708692;-73,944327;11206
Hendrix Street Community Garden (Block Association of Hendrix Street);532 Hendrix Street;40,668485;-73,888314;11207
Herb Garden (111th St. Betterment Association);176 E 111th Street;40,795069;-73,943106;10029
Herbal Garden of East New York;582 - 590 Glenmore Avenue;40,674263;-73,888701;11207
High School For Environmental Studies;444 W 56th Street NY NY 10019;40,767791;-73,987531;10019
Hollenback Community Garden;460 Washington Avenue;40,685321;-73,965249;11238
Home Depot Community Garden  (St. Mark's Monastery 1);415-421 East 117th Street;40,79645;-73,934347;10035
Hope Garden;193 East 2nd Street;40,722289;-73,984094;10009
Hope Steven Garden;1656 Amsterdam Avenue;40,823414;-73,94895;10031
Howard Garden;750 Howard Avenue;40,663636;-73,918957;11212
Hull Street Community Garden Inc.;196 Hull Street;40,679912;-73,907566;11233
Hull Street Playground;145 Hull Street;40,679465;-73,911615;11233
Humacao Community Garden;335 E 108th Street;40,791109;-73,939592;10029
Human Compass Community  Garden Inc.;207-209 Columbia Street;40,684958;-74,002726;11231
I.S. 193X;1919 Prospect Avenue;40,843546;-73,889755;10457
I.S. 311 - The Essence School;800 Van Siclen Avenue, Brooklyn, NY 11207;40,66011;-73,885387;11207
I.S. 62 - The Greening of Ditmas;700 Cortelyou Road;40,638686;-73,971651;11218
I.S. 71;215 Heyward Street;40,703624;-73,953146;11206
I.S. 90 Miracle Sisters Garden;21 Jumel Place, NY NY 10032;40,839305;-73,936159;10032
I.S. 96;99 Avenue P;40,60754;-73,984661;11204
Imani II Garden (Schenectady Avenue Community Garden);87-91 Schenectady Avenue;40,676312;-73,933182;11213
Isla Verde Garden;625 Wales Avenue;40,814909;-73,906522;10455
J.H.S. 120;890 Cauldwell Avenue;40,822474;-73,907194;10456
J.H.S. 265;101 Park Avenue;40,696324;-73,97578;11205
Jackie Robinson Community Garden;103 East 122nd Street;40,803013;-73,940152;10035
Jacqueline Denise Davis Garden;1022-1024 Boston Road (north of E 165th Street);40,825997;-73,906723;10456
Jane Adams Vocational H.S. - 4 Seasons Garden;900 Tinton Avenue;40,821675;-73,903546;10456
Jane Bailey Memorial Garden;327-329 Greene Avenue;40,687596;-73,958223;11238
Jardin de la Familia;1507 Washington Avenue;40,837907;-73,903201;10457
Jerome Gardens;447 Jerome Street;40,670461;-73,886004;11207
Jerry and the Senior Gents of E.N.Y.;349 Schenck Avenue;40,672292;-73,888329;11207
Jes Good Rewards Children's Garden;155 Amboy Street;40,667016;-73,91396;11212
JFK High School - Enchanted Garden;JFK High School 99 Terrace View Avenue;
Jim Mackey Eastchester Road Community Garden;E/S Eastchester Road & N/O E 222nd Street;
Joe Holzka Community Garden;1161 Castleton Avenue;40,634234;-74,12114;10310
John Bowne High School;63-25 Main Street  Flushing, NY 11367;40,738139;-73,824944;11367
John Jay High School;237 7th Avenue.  Brooklyn, NY 11215;40,669629;-73,979287;11215
John the Baptist Community Center Inc.;10 Stuyvesant Avenue;40,696355;-73,93473;11221
Jose Gonzalez House Community Garden;1175 Hoe Avenue;40,827899;-73,890901;10459
Joseph Daniel Wilson Memorial Gardens;219 W. 122nd Street;40,807407;-73,950588;10027
Kenkeleba House Garden;212 E. 3rd Street;40,722502;-73,982582;10009
Kosciusko St. Comm. Pk./Learning Center;385-389 Kosciusko Street;40,692034;-73,93917;11221
Krystal Community Garden;2085-2093 Vyse Avenue.;40,843482;-73,88086;10460
La Casita;223 E. 119th Street;40,799606;-73,937894;10035
La Cuevita Community Garden;71 East 115th Street;40,798797;-73,944151;10029
La Finca Del Sur/ South Bronx Farmers;138th & Grand Concourse;
La Finea;1036 Flushing Avenue;40,704359;-73,929634;11237
La Isla;96-98 W. 163rd Street;40,832115;-73,929249;10452
La Perla Garden;76 W. 105th Street;40,798286;-73,962719;10025
La Plaza Cultural-Armando Perez;632-650 E. 9th Street;40,725815;-73,979248;10009
LaGuardia Corner Community Garden;511 LaGuardia Place;40,727809;-73,999159;10012
Las Casitas Community Garden;1126 - 1140 Woodycrest Avenue;40,835464;-73,925809;10452
Latinos Unidos;427 East 157th Street;40,821362;-73,914154;10451
Learning Tree;1885 University Avenue (behind Calvary Methodist Church);40,852536;-73,913333;10453
Lefferts Place Block Association;162 Lefferts Place;40,6806;-73,957474;11238
Life Spire (CRMD, Inc.);2015 Lexington Avenue;40,802809;-73,938552;10035
Lincoln Road Garden;316 Lincoln Road;40,661467;-73,952239;11225
Lincoln-Berkeley Comm. Garden;20 Lincoln Place;40,677378;-73,978845;11217
Linden-Bushwick Garden;113 Linden Street;40,693162;-73,919649;11221
Little Blue House;1675 Madison Avenue;40,796976;-73,947034;10029
Liz Christy Garden;110 E Houston Street;40,723832;-73,991576;10002
Los Amigos;221 East 3rd Street;40,722453;-73,982423;10009
Los Amigos Garden;326 Pleasant Avenue;40,796043;-73,932422;10035
Lower East Side Ecology Center;213 E. 7th Street;40,724508;-73,979851;10009
Lower East Side People Care;25 Rutgers Street;40,712962;-73,990026;10002
M.S. 131;100 Hester Street  NY, NY 10002;40,716553;-73,993092;10002
M.S. 144;2545 Gunther Avenue;40,863735;-73,83607;10469
M.S. 340;227 Sterling Place;40,676094;-73,97038;11238
M.S. 391 Mahalia Jackson;790 East New York Avenue;40,662447;-73,936382;11203
M.S. 54 - Booker T Washington Garden;103 West 108th Street;40,80069;-73,962238;10025
M.S. 61 -  Atwell;400 Empire Boulevard.;40,664007;-73,94922;11225
Madison Community GreenThumb Garden;894 Madison Street;40,687995;-73,922006;11221
Madison Square Garden;1262-1264 Madison Street;40,694952;-73,913174;11221
Madison Street Association;974 Madison Street;40,688959;-73,919063;11221
Madison Street Block Association;88-90 Madison Street;40,684145;-73,955485;11216
Maggies Garden;564 West 149th Street;40,828472;-73,947418;10031
Maggies Garden (formerly Ebenezer Wesleyan Methodist Church Garden);1574 Lexington Avenue;40,788624;-73,948933;10029
Magic Garden;1665-71 Park Avenue;40,800245;-73,942524;10035
Malcom X Day Care Center;111-26 Northern Boulevard.;40,757942;-73,858287;11368
MaMa Dee's Garden;1397 Bedford Avenue;40,675251;-73,953404;11216
Manleys Place;2539 Pitkin Avenue;40,674461;-73,878498;11208
Manor Avenue Seniors Garden;1025 Manor Avenue;40,824911;-73,875459;10472
Margrichantie Memorial Garden;155-159 W. 133rd Street;40,813563;-73,943564;10030
McKinleys Childrens Garden;108-56 Union Hall Street;40,695304;-73,791536;11433
McLeods Community Garden (formerly Powell Street Block Association - Liberty Ave);130 Liberty Avenue;40,673067;-73,905437;11212
Members Group (Dalia Group Garden);724 Courtlandt Avenue;40,820733;-73,917663;10451
Mildred T. Rhodebeck Garden (Garden of Eden);927 Faile Street;40,821522;-73,889293;10459
Miracle Garden - Manhattan;194-196 East 3rd Street;40,722917;-73,983563;10009
Mo Pals;545 West 147th Street;40,827075;-73,947928;10031
